1	1
1	17
2	2
2	2
3	3
3	3
4	4
4	4
5	5
5	5
6	6
6	6
7	7
7	7
8	8
8	8
9	9
9	9
10	5
10	10
11	11
11	11
12	12
12	12
13	13
13	13
14	14
14	14
15	15
15	15
16	16
16	16
17	17
17	17
18	18
18	18
19	29
19	19
20	20
20	20
21	21
21	21
22	22
22	22
23	23
23	23
24	24
24	24
25	25
25	25
26	26
26	26
27	27
27	27
28	29
28	13
29	29
29	29
30	30
30	30
31	31
31	31
32	32
32	32
33	33
33	33
34	34
34	34
35	35
35	35
36	17
36	3
36	17
36	17
36	17
36	7
36	24
36	17
36	17
36	18
37	28
37	29
37	28
37	32
37	29
37	29
37	28
37	26
37	28
37	28
38	3
38	1
38	33
38	4
38	1
38	6
38	1
38	23
38	3
38	23
39	15
39	15
39	29
39	15
39	22
39	25
39	15
39	15
39	22
39	29
40	5
40	18
40	18
40	5
40	5
40	5
40	29
40	5
40	29
40	5
